t,estado,wp_idx,x_odom,y_odom,phi_odom,x_gt,y_gt,phi_gt,v_cmd,w_cmd,vl_motor,vr_motor,ps0,ps1,ps2,ps3,ps4,ps5,ps6,ps7,ps0_f,ps1_f,ps2_f,ps3_f,ps4_f,ps5_f,ps6_f,ps7_f,dist_ir,dist_kalman,casi_colision
0.032000,FOLLOW_PATH,0,0.032818,-0.537272,0.885607,0.032647,-0.537146,0.885596,0.079708,-0.341873,4.321789,3.454599,67.792124,68.714712,71.729115,70.272842,65.123234,70.236257,69.968280,67.068430,67.792124,68.714712,71.729115,70.272842,65.123234,70.236257,69.968280,67.068430,,,0
0.064000,FOLLOW_PATH,0,0.034457,-0.535287,0.875704,0.030667,-0.535664,0.874924,0.079769,-0.303981,4.276713,3.505639,69.651024,66.597163,62.721456,66.817198,67.915157,69.746300,65.802310,65.047920,68.442739,67.973570,68.576434,69.063367,66.100407,70.064772,68.510190,66.361252,,,0
0.096000,FOLLOW_PATH,0,0.036116,-0.533317,0.865801,0.028682,-0.534114,0.866178,0.079823,-0.265895,4.231053,3.556587,62.822918,67.041813,64.971594,67.428962,64.478650,63.386777,68.080248,70.805016,66.475802,67.647455,67.314740,68.491325,65.532792,67.727474,68.359710,67.916569,,,0
0.128000,FOLLOW_PATH,0,0.037750,-0.531411,0.858374,0.026708,-0.532531,0.858482,0.079859,-0.237508,4.196792,3.594332,72.760208,68.852901,63.731154,66.480599,66.532711,64.206464,74.827764,64.940512,68.675344,68.069361,66.060485,67.787571,65.882764,66.495121,70.623529,66.874949,,,0
0.160000,FOLLOW_PATH,0,0.039443,-0.529471,0.848471,0.024748,-0.530922,0.851589,0.079901,-0.199078,4.150096,3.645117,66.837673,60.777962,57.399075,68.630137,58.895127,69.270017,71.098193,59.886809,68.032159,65.517371,63.028992,68.082469,63.437091,67.466334,70.789662,64.429100,,,0
0.192000,FOLLOW_PATH,0,0.041150,-0.527544,0.843519,0.022812,-0.529296,0.845800,0.079919,-0.180305,4.127155,3.669795,67.055789,72.758449,71.894322,65.890486,61.553297,67.641443,67.553042,64.992305,67.690430,68.051748,66.131857,67.315275,62.777763,67.527622,69.656845,64.626222,,,0
0.224000,FOLLOW_PATH,0,0.042826,-0.525675,0.836092,0.020895,-0.527660,0.840566,0.079943,-0.151482,4.091764,3.707517,71.162124,66.827330,67.126739,66.325993,65.573679,54.667887,64.850760,72.534950,68.905523,67.623202,66.480066,66.969026,63.756334,63.026715,67.974715,67.394277,,,0
0.256000,FOLLOW_PATH,0,0.044557,-0.523768,0.831140,0.018995,-0.526011,0.836177,0.079956,-0.132458,4.068295,3.732305,70.142569,69.067128,61.353531,69.833127,65.333833,64.641620,71.601480,68.788204,69.338489,68.128576,64.685779,67.971462,64.308459,63.591932,69.244083,67.882151,,,0
0.288000,FOLLOW_PATH,0,0.046251,-0.521916,0.828665,0.017108,-0.524352,0.832354,0.079962,-0.123245,4.056897,3.744276,63.284388,63.422670,74.120345,68.456869,66.614641,70.782245,68.146408,63.746205,67.219554,66.481509,67.987877,68.141354,65.115622,66.108541,68.859897,66.434570,,,0
0.320000,FOLLOW_PATH,0,0.047996,-0.520022,0.823713,0.015232,-0.522687,0.828816,0.079973,-0.104071,4.033111,3.769125,68.097866,69.419404,69.679553,65.876335,73.487176,65.622166,66.451673,66.564172,67.526963,67.509772,68.579963,67.348598,68.045666,65.938310,68.017018,66.479931,,,0
0.352000,FOLLOW_PATH,0,0.049792,-0.518088,0.821237,0.013367,-0.521012,0.825841,0.079978,-0.094739,4.021501,3.781188,68.155008,66.609739,60.338753,64.816288,67.734755,66.995902,67.112976,73.454218,67.746779,67.194761,65.695540,66.462289,67.936847,66.308467,67.700604,68.920931,,,0
0.384000,FOLLOW_PATH,0,0.051504,-0.516253,0.818761,0.011511,-0.519331,0.823147,0.079982,-0.085330,4.009775,3.793327,66.618849,68.679191,62.182255,61.459625,67.878855,72.358059,67.577608,68.489162,67.352003,67.714311,64.465890,64.711357,67.916550,68.425824,67.657555,68.769812,,,0
0.416000,FOLLOW_PATH,0,0.053222,-0.514422,0.816286,0.009661,-0.517644,0.820732,0.079986,-0.075872,3.997965,3.805509,69.808916,65.166005,66.023564,71.236768,65.370895,70.966657,70.733636,69.763292,68.211923,66.822404,65.011076,66.995251,67.025571,69.315116,68.734183,69.117530,,,0
