t,estado,wp_idx,x_odom,y_odom,phi_odom,x_gt,y_gt,phi_gt,v_cmd,w_cmd,vl_motor,vr_motor,ps0,ps1,ps2,ps3,ps4,ps5,ps6,ps7,ps0_f,ps1_f,ps2_f,ps3_f,ps4_f,ps5_f,ps6_f,ps7_f,dist_ir,dist_kalman,casi_colision
0.032000,FOLLOW_PATH,0,-0.065933,-0.850200,-2.377385,-0.065833,-0.850174,-2.377383,0.000000,-4.000000,5.073171,-5.073171,67.792124,68.714712,71.729115,70.272842,65.123234,70.236257,69.968280,67.068430,67.792124,68.714712,71.729115,70.272842,65.123234,70.236257,69.968280,67.068430,,,0
0.064000,FOLLOW_PATH,0,-0.065982,-0.850241,-2.503649,-0.064983,-0.849474,-2.491182,0.000000,-4.000000,5.073171,-5.073171,69.651024,66.597163,62.721456,66.817198,67.915157,69.746300,65.802310,65.047920,68.442739,67.973570,68.576434,69.063367,66.100407,70.064772,68.510190,66.361252,,,0
0.096000,FOLLOW_PATH,0,-0.065982,-0.850241,-2.632389,-0.064049,-0.848850,-2.607285,0.000000,-4.000000,5.073171,-5.073171,62.822918,67.041813,64.971594,67.428962,64.478650,63.386777,68.080248,70.805016,66.475802,67.647455,67.314740,68.491325,65.532792,67.727474,68.359710,67.916569,,,0
0.128000,FOLLOW_PATH,0,-0.065924,-0.850213,-2.758653,-0.063035,-0.848327,-2.724856,0.000000,-4.000000,5.073171,-5.073171,72.760208,68.852901,63.731154,66.480599,66.532711,64.206464,74.827764,64.940512,68.675344,68.069361,66.060485,67.787571,65.882764,66.495121,70.623529,66.874949,,,0
0.160000,FOLLOW_PATH,0,-0.065924,-0.850213,-2.887393,-0.063056,-0.848265,-2.729669,0.000000,-4.000000,5.073171,-5.073171,66.837673,60.777962,57.399075,68.630137,58.895127,69.270017,71.098193,59.886809,68.032159,65.517371,63.028992,68.082469,63.437091,67.466334,70.789662,64.429100,,,0
0.192000,FOLLOW_PATH,0,-0.065924,-0.850213,-3.016133,-0.063049,-0.848261,-2.729669,0.000000,-4.000000,5.073171,-5.073171,67.055789,72.758449,71.894322,65.890486,61.553297,67.641443,67.553042,64.992305,67.690430,68.051748,66.131857,67.315275,62.777763,67.527622,69.656845,64.626222,,,0
0.224000,FOLLOW_PATH,0,-0.065988,-0.850217,3.140788,-0.063044,-0.848258,-2.729669,0.000000,-4.000000,5.073171,-5.073171,71.162124,66.827330,67.126739,66.325993,65.573679,54.667887,64.850760,72.534950,68.905523,67.623202,66.480066,66.969026,63.756334,63.026715,67.974715,67.394277,,,0
0.256000,FOLLOW_PATH,0,-0.065924,-0.850221,3.014523,-0.063040,-0.848256,-2.729670,0.000000,-4.000000,5.073171,-5.073171,70.142569,69.067128,61.353531,69.833127,65.333833,64.641620,71.601480,68.788204,69.338489,68.128576,64.685779,67.971462,64.308459,63.591932,69.244083,67.882151,,,0
0.288000,FOLLOW_PATH,0,-0.065924,-0.850221,2.885783,-0.063037,-0.848254,-2.729670,0.000000,-4.000000,5.073171,-5.073171,63.284388,63.422670,74.120345,68.456869,66.614641,70.782245,68.146408,63.746205,67.219554,66.481509,67.987877,68.141354,65.115622,66.108541,68.859897,66.434570,,,0
0.320000,FOLLOW_PATH,0,-0.065924,-0.850221,2.757043,-0.063034,-0.848253,-2.729670,0.000000,-4.000000,5.073171,-5.073171,68.097866,69.419404,69.679553,65.876335,73.487176,65.622166,66.451673,66.564172,67.526963,67.509772,68.579963,67.348598,68.045666,65.938310,68.017018,66.479931,,,0
0.352000,FOLLOW_PATH,0,-0.065982,-0.850194,2.630779,-0.063032,-0.848252,-2.729672,0.000000,-4.000000,5.073171,-5.073171,68.155008,66.609739,60.338753,64.816288,67.734755,66.995902,67.112976,73.454218,67.746779,67.194761,65.695540,66.462289,67.936847,66.308467,67.700604,68.920931,,,0
0.384000,FOLLOW_PATH,0,-0.065982,-0.850194,2.502039,-0.063030,-0.848251,-2.729673,0.005063,-4.000000,5.320171,-4.826171,66.618849,68.679191,62.182255,61.459625,67.878855,72.358059,67.577608,68.489162,67.352003,67.714311,64.465890,64.711357,67.916550,68.425824,67.657555,68.769812,,,0
0.416000,FOLLOW_PATH,0,-0.066080,-0.850110,2.373299,-0.062381,-0.847552,-2.822174,0.015259,-4.000000,5.817495,-4.328847,69.808916,65.166005,66.023564,71.236768,65.370895,70.966657,70.733636,69.763292,68.211923,66.822404,65.011076,66.995251,67.025571,69.315116,68.734183,69.117530,,,0
0.448000,FOLLOW_PATH,0,-0.066384,-0.849777,2.247035,-0.061229,-0.847649,-2.933697,0.024983,-4.000000,6.280000,-3.847215,67.510361,67.672979,69.295329,62.069466,66.307088,68.284408,71.319652,65.361608,67.966376,67.120105,66.510564,65.271226,66.774102,68.954368,69.639097,67.802957,,,0
0.480000,FOLLOW_PATH,0,-0.066865,-0.849093,2.120771,-0.060861,-0.846722,-2.991266,0.034281,-4.000000,6.280000,-3.166262,72.055708,73.656697,67.124517,63.063389,63.234791,62.727858,67.628645,63.583875,69.397642,69.407912,66.725448,64.498483,65.535343,66.775090,68.935439,66.326278,,,0
0.512000,FOLLOW_PATH,0,-0.067351,-0.848184,2.001934,-0.060999,-0.846418,-3.003400,0.042529,-4.000000,6.280000,-2.634559,61.209735,66.108018,69.334036,67.375872,65.987251,69.811617,70.837718,67.347199,66.531875,68.252949,67.638454,65.505569,65.693511,67.837874,69.601237,66.683600,,,0
0.544000,FOLLOW_PATH,0,-0.067774,-0.847106,1.888048,-0.061123,-0.846235,-3.010810,0.049876,-3.590600,6.280000,-1.906370,62.099805,67.029024,63.978574,62.777097,67.213386,69.308112,67.904018,67.006083,64.980650,67.824576,66.357496,64.550604,66.225467,68.352458,69.007210,66.796470,,,0
0.576000,FOLLOW_PATH,0,-0.068145,-0.845739,1.784066,-0.060979,-0.845671,-3.034063,0.056019,-3.180242,6.280000,-1.207367,67.685603,68.845689,67.935514,68.932665,60.304237,66.030061,66.108706,64.656182,65.927384,68.181965,66.909802,66.084325,64.153037,67.539619,67.992734,66.047369,,,0
0.608000,FOLLOW_PATH,0,-0.068422,-0.844089,1.689987,-0.060873,-0.845325,-3.048750,0.061059,-2.809919,6.280000,-0.561826,63.675263,66.652559,65.770562,69.244336,65.756289,69.959466,66.859843,70.417595,65.139141,67.646673,66.511068,67.190329,64.714175,68.386565,67.596222,67.576948,,,0
0.640000,FOLLOW_PATH,0,-0.068561,-0.842292,1.605811,-0.060816,-0.845170,-3.055379,0.065121,-2.479047,6.280000,0.032285,67.986439,72.492503,62.879302,62.224248,69.926974,57.993363,64.403444,65.157181,66.135696,69.342713,65.239950,65.452201,66.538655,64.748944,66.478750,66.730030,,,0
0.672000,FOLLOW_PATH,0,-0.068554,-0.840168,1.529062,-0.060813,-0.845188,-3.054545,0.068429,-2.178220,6.100602,0.575362,67.521682,63.621736,68.002107,67.166664,66.719341,66.480741,65.899510,68.806190,66.620791,67.340371,66.206705,66.052263,66.601895,65.355073,66.276016,67.456686,,,0
0.704000,FOLLOW_PATH,0,-0.068387,-0.837985,1.459740,-0.060860,-0.845362,-3.046893,0.071083,-1.906596,5.885584,1.049341,63.594910,70.764337,62.484808,67.761507,65.906120,70.073033,66.856980,71.371698,65.561733,68.538759,64.904041,66.650498,66.358373,67.006359,66.479353,68.826940,,,0
0.736000,FOLLOW_PATH,0,-0.068068,-0.835755,1.397846,-0.060819,-0.845984,-3.044683,0.073176,-1.664181,5.680208,1.458870,70.302933,68.109684,72.245334,68.835176,67.591865,63.788346,63.189593,59.779855,67.221153,68.388583,67.473494,67.415135,66.790096,65.880055,65.327937,65.660460,,,0
0.768000,FOLLOW_PATH,0,-0.067607,-0.833484,1.343379,-0.060673,-0.847027,-3.049220,0.074794,-1.450996,5.488775,1.808200,61.139923,71.626852,66.468208,73.180014,66.328794,64.542007,71.640572,67.006924,65.092723,69.521977,67.121644,69.432843,66.628640,65.411738,67.537359,66.131723,,,0
0.800000,FOLLOW_PATH,0,-0.067003,-0.831114,1.298815,-0.060054,-0.849258,-3.091726,0.075957,-1.277108,5.324967,2.085473,61.604554,66.830392,70.115425,64.930632,64.934738,69.848913,67.279776,71.000529,63.871864,68.579922,68.169467,67.857069,66.035774,66.964749,67.447205,67.835805,,,0
0.832000,FOLLOW_PATH,0,-0.066315,-0.828834,1.256727,-0.059607,-0.851620,-3.127881,0.076926,-1.112509,5.163460,2.341487,71.002330,66.975326,69.049237,66.132989,65.181475,68.786007,64.518135,64.194431,66.367527,68.018313,68.477387,67.253641,65.736769,67.602190,66.422031,66.561324,,,0
0.864000,FOLLOW_PATH,0,-0.065519,-0.826521,1.222067,-0.059292,-0.854031,3.123561,0.077624,-0.977259,5.026000,2.547099,66.048914,69.520039,64.084735,67.379419,66.587055,64.001724,68.434772,61.029286,66.256012,68.543917,66.939959,67.297663,66.034370,66.342027,67.126490,64.625110,,,0
0.896000,FOLLOW_PATH,0,-0.064623,-0.824176,1.189882,-0.059090,-0.856471,3.095543,0.078194,-0.851585,4.894393,2.734275,68.194469,62.738521,64.705791,64.825852,66.596286,69.330009,72.365209,77.660880,66.934472,66.512029,66.158000,66.432529,66.231040,67.387820,68.960042,69.187630,,,0
0.928000,FOLLOW_PATH,0,-0.063658,-0.821858,1.162648,-0.058989,-0.858931,3.071068,0.078615,-0.745343,4.780199,2.889574,67.389950,69.145944,68.031430,73.282012,66.296809,75.059634,72.142258,71.829527,67.093890,67.433899,66.813700,68.829848,66.254059,70.072955,70.073817,70.112294,,,0
0.960000,FOLLOW_PATH,0,-0.062636,-0.819565,1.140366,-0.058983,-0.861400,3.049639,0.078918,-0.658593,4.684951,3.014374,70.058871,68.459386,68.106233,69.474352,64.816531,65.849425,67.633864,67.686948,68.131633,67.792820,67.266087,69.055424,65.750924,68.594720,69.219834,69.263423,,,0
0.992000,FOLLOW_PATH,0,-0.061563,-0.817295,1.118084,-0.059053,-0.863874,3.030728,0.079185,-0.571558,4.587571,3.137765,68.265666,63.977091,64.979947,69.803650,68.532924,60.443836,65.409605,79.815417,68.178545,66.457314,66.465938,69.317303,66.724624,65.741910,67.886254,72.956621,,,0
1.024000,FOLLOW_PATH,0,-0.060446,-0.815047,1.100754,-0.059193,-0.866349,3.014353,0.079366,-0.504074,4.510807,3.232179,61.083041,64.815663,68.834501,67.671375,70.514008,70.533057,71.233154,81.071591,65.695118,65.882737,67.294935,68.741228,68.050909,67.418812,69.057669,75.796860,,,0
1.056000,FOLLOW_PATH,0,-0.059289,-0.812819,1.083423,-0.059386,-0.868823,2.999958,0.079524,-0.436366,4.432681,3.325800,67.842756,64.962066,66.535231,65.634338,66.259123,65.146568,67.487815,99.656836,66.446791,65.560502,67.029038,67.653817,67.423784,66.623526,68.508220,84.147852,0.065365,0.065365,0
1.088000,FOLLOW_PATH,0,-0.058067,-0.810553,1.068569,-0.059631,-0.871295,2.987544,0.079642,-0.378388,4.364898,3.405085,70.323373,69.578608,68.457140,69.181799,72.072283,63.886536,70.212409,105.768415,67.803595,66.966839,67.528874,68.188610,69.050758,65.665580,69.104686,91.715049,0.063320,0.063300,0
