x,y
-0.950000,0.610000
-0.850000,0.630000
-0.670000,0.630000
-0.410000,0.010000
-0.210000,-0.610000
-0.110000,-0.630000
0.070000,-0.630000
1.270000,0.630000
1.290000,0.730000
1.300000,1.300000
