t,estado,wp_idx,x_odom,y_odom,phi_odom,x_gt,y_gt,phi_gt,v_cmd,w_cmd,vl_motor,vr_motor,ps0,ps1,ps2,ps3,ps4,ps5,ps6,ps7,ps0_f,ps1_f,ps2_f,ps3_f,ps4_f,ps5_f,ps6_f,ps7_f,dist_ir,dist_kalman,casi_colision
0.032000,FOLLOW_PATH,0,-0.394645,-0.392093,2.546285,-0.394648,-0.392098,2.546285,0.018164,-4.000000,5.959208,-4.187134,67.792124,68.714712,71.729115,70.272842,65.123234,70.236257,69.968280,67.068430,67.792124,68.714712,71.729115,70.272842,65.123234,70.236257,69.968280,67.068430,,,0
0.064000,FOLLOW_PATH,0,-0.395154,-0.391699,2.417545,-0.393781,-0.392785,2.432449,0.027958,-4.000000,6.280000,-3.618917,69.651024,66.597163,62.721456,66.817198,67.915157,69.746300,65.802310,65.047920,68.442739,67.973570,68.576434,69.063367,66.100407,70.064772,68.510190,66.361252,,,0
0.096000,FOLLOW_PATH,0,-0.395790,-0.391061,2.293757,-0.393615,-0.394289,2.319032,0.036925,-4.000000,6.280000,-2.989020,62.822918,67.041813,64.971594,67.428962,64.478650,63.386777,68.080248,70.805016,66.475802,67.647455,67.314740,68.491325,65.532792,67.727474,68.359710,67.916569,,,0
0.128000,FOLLOW_PATH,0,-0.396386,-0.390301,2.177395,-0.393616,-0.395835,2.202091,0.044846,-3.902875,6.280000,-2.430483,72.760208,68.852901,63.731154,66.480599,66.532711,64.206464,74.827764,64.940512,68.675344,68.069361,66.060485,67.787571,65.882764,66.495121,70.623529,66.874949,,,0
0.160000,FOLLOW_PATH,0,-0.397061,-0.389205,2.068462,-0.394002,-0.397417,2.092023,0.051704,-3.472312,6.280000,-1.706258,66.837673,60.777962,77.155469,68.630137,58.895127,69.270017,71.098193,59.886809,68.032159,65.517371,69.943729,68.082469,63.437091,67.466334,70.789662,64.429100,,,0
0.192000,FOLLOW_PATH,0,-0.397701,-0.387870,1.966955,-0.394851,-0.398997,1.991677,0.057548,-3.071739,6.280000,-1.019945,67.055789,72.758449,106.634200,65.890486,61.553297,67.641443,67.553042,64.992305,67.690430,68.051748,82.785394,67.315275,62.777763,67.527622,69.656845,64.626222,,,0
0.224000,FOLLOW_PATH,0,-0.398298,-0.386238,1.875352,-0.394534,-0.398918,1.981415,0.062317,-2.711137,6.280000,-0.386448,71.162124,66.827330,97.200223,66.325993,65.573679,54.667887,64.850760,72.534950,68.905523,67.623202,87.830584,66.969026,63.756334,63.026715,67.974715,67.394277,,,0
0.256000,FOLLOW_PATH,0,-0.398799,-0.384373,1.791175,-0.394429,-0.398865,1.978003,0.066249,-2.380244,6.250512,0.212819,70.142569,69.067128,87.717059,69.833127,65.333833,64.641620,71.601480,68.788204,69.338489,68.128576,87.790851,67.971462,64.308459,63.591932,69.244083,67.882151,,,0
0.288000,FOLLOW_PATH,0,-0.399183,-0.382283,1.714427,-0.394528,-0.398855,1.981029,0.069436,-2.078951,6.023838,0.750401,63.284388,63.422670,103.897503,68.456869,66.614641,70.782245,68.146408,63.746205,67.219554,66.481509,93.428179,68.141354,65.115622,66.108541,68.859897,66.434570,,,0
0.320000,FOLLOW_PATH,0,-0.399427,-0.380108,1.650057,-0.394810,-0.398882,1.989776,0.071802,-1.826693,5.819316,1.185753,68.097866,69.419404,105.276399,65.876335,73.487176,65.622166,66.451673,66.564172,67.526963,67.509772,97.575056,67.348598,68.045666,65.938310,68.017018,66.479931,,,0
0.352000,FOLLOW_PATH,0,-0.399541,-0.377794,1.590638,-0.395240,-0.398945,2.003060,0.073732,-1.593920,5.618247,1.575134,68.155008,66.609739,93.263762,64.816288,67.734755,66.995902,67.112976,73.454218,67.746779,67.194761,96.066103,66.462289,67.936847,66.308467,67.700604,68.920931,,,0
0.384000,FOLLOW_PATH,0,-0.399530,-0.375477,1.541123,-0.395804,-0.399046,2.020309,0.075149,-1.400190,5.441632,1.889930,66.618849,68.679191,91.178299,61.459625,67.878855,72.358059,67.577608,68.489162,67.352003,67.714311,94.355372,64.711357,67.916550,68.425824,67.657555,68.769812,,,0
0.416000,FOLLOW_PATH,0,-0.399403,-0.373034,1.496559,-0.396476,-0.399190,2.040645,0.076272,-1.225979,5.275474,2.165673,69.808916,65.166005,90.220269,71.236768,65.370895,70.966657,70.733636,69.763292,68.211923,66.822404,92.908086,66.995251,67.025571,69.315116,68.734183,69.117530,,,0
0.448000,FOLLOW_PATH,0,-0.399173,-0.370599,1.456947,-0.397245,-0.399380,2.063581,0.077149,-1.071094,5.121826,2.404905,67.510361,67.672979,87.752649,62.069466,66.307088,68.284408,71.319652,65.361608,67.966376,67.120105,91.103683,65.271226,66.774102,68.954368,69.639097,67.802957,,,0
0.480000,FOLLOW_PATH,0,-0.398853,-0.368174,1.422286,-0.398097,-0.399622,2.088659,0.077822,-0.935583,4.982772,2.609586,72.055708,73.656697,78.590922,63.063389,63.234791,62.727858,67.628645,63.583875,69.397642,69.407912,86.724217,64.498483,65.535343,66.775090,68.935439,66.326278,,,0
0.512000,FOLLOW_PATH,0,-0.398456,-0.365760,1.392577,-0.399022,-0.399920,2.115450,0.078327,-0.819501,4.860192,2.781458,61.209735,66.108018,72.812081,67.375872,65.987251,69.811617,70.837718,67.347199,66.531875,68.252949,81.854969,65.505569,65.693511,67.837874,69.601237,66.683600,,,0
0.544000,FOLLOW_PATH,0,-0.397968,-0.363232,1.367819,-0.400960,-0.401432,2.088839,0.078697,-0.723032,4.755875,2.921843,62.099805,67.029024,67.555533,62.777097,67.213386,69.308112,67.904018,67.006083,64.980650,67.824576,76.850166,64.550604,66.225467,68.352458,69.007210,66.796470,,,0
0.576000,FOLLOW_PATH,0,-0.397445,-0.360842,1.343061,-0.402968,-0.402822,2.067303,0.079022,-0.626140,4.648854,3.060597,67.685603,68.845689,70.826178,68.932665,60.304237,66.030061,66.108706,64.656182,65.927384,68.181965,74.741770,66.084325,64.153037,67.539619,67.992734,66.047369,,,0
0.608000,FOLLOW_PATH,0,-0.396839,-0.358340,1.323255,-0.405016,-0.404135,2.048376,0.079248,-0.548884,4.561902,3.169610,63.675263,66.652559,67.476541,69.244336,65.756289,69.959466,66.859843,70.417595,65.139141,67.646673,72.198940,67.190329,64.714175,68.386565,67.596222,67.576948,,,0
0.640000,FOLLOW_PATH,0,-0.396203,-0.355912,1.305925,-0.407102,-0.405388,2.031640,0.079422,-0.481253,4.484598,3.263859,67.986439,72.492503,63.091795,62.224248,69.926974,57.993363,64.403444,65.157181,66.135696,69.342713,69.011439,65.452201,66.538655,64.748944,66.478750,66.730030,,,0
0.672000,FOLLOW_PATH,0,-0.395510,-0.353432,1.291070,-0.409234,-0.406595,2.016901,0.079552,-0.423362,4.417549,3.343654,67.521682,63.621736,68.002107,67.166664,66.719341,66.480741,65.899510,68.806190,66.620791,67.340371,68.658173,66.052263,66.601895,65.355073,66.276016,67.456686,,,0
0.704000,FOLLOW_PATH,0,-0.394802,-0.351023,1.278691,-0.411406,-0.407762,2.003924,0.079648,-0.375167,4.361109,3.409465,63.594910,70.764337,62.484808,67.761507,65.906120,70.073033,66.856980,71.371698,65.561733,68.538759,66.497495,66.650498,66.358373,67.006359,66.479353,68.826940,,,0
0.736000,FOLLOW_PATH,0,-0.394064,-0.348623,1.266312,-0.413607,-0.408892,1.992451,0.079733,-0.326817,4.303920,3.474921,70.302933,68.109684,72.245334,68.835176,67.591865,63.788346,63.189593,59.779855,67.221153,68.388583,68.509239,67.415135,66.790096,65.880055,65.327937,65.660460,,,0
0.768000,FOLLOW_PATH,0,-0.393280,-0.346171,1.256409,-0.415835,-0.409988,1.982487,0.079792,-0.288255,4.257902,3.526718,61.139923,71.626852,66.468208,73.180014,66.328794,64.542007,71.640572,67.006924,65.092723,69.521977,67.794878,69.432843,66.628640,65.411738,67.537359,66.131723,,,0
0.800000,FOLLOW_PATH,0,-0.392472,-0.343726,1.246506,-0.418083,-0.411054,1.973745,0.079844,-0.249565,4.211368,3.578325,61.604554,66.830392,70.115425,64.930632,64.934738,69.848913,67.279776,71.000529,63.871864,68.579922,68.607069,67.857069,66.035774,66.964749,67.447205,67.835805,,,0
0.832000,FOLLOW_PATH,0,-0.391663,-0.341350,1.239079,-0.420350,-0.412092,1.966216,0.079878,-0.220645,4.176345,3.616661,71.002330,66.975326,69.049237,66.132989,65.181475,68.786007,64.518135,64.194431,66.367527,68.018313,68.761828,67.253641,65.736769,67.602190,66.422031,66.561324,,,0
0.864000,FOLLOW_PATH,0,-0.390813,-0.338920,1.229176,-0.422632,-0.413108,1.959607,0.079917,-0.181727,4.128896,3.667929,66.048914,69.520039,64.084735,67.379419,66.587055,64.001724,68.434772,61.029286,66.256012,68.543917,67.124846,67.297663,66.034370,66.342027,67.126490,64.625110,,,0
0.896000,FOLLOW_PATH,0,-0.389944,-0.336496,1.224224,-0.424931,-0.414101,1.954187,0.079934,-0.162518,4.105338,3.693099,68.194469,62.738521,64.705791,64.825852,66.596286,69.330009,72.365209,77.660880,66.934472,66.512029,66.278176,66.432529,66.231040,67.387820,68.960042,69.187630,,,0
0.928000,FOLLOW_PATH,0,-0.389088,-0.334136,1.221749,-0.427241,-0.415079,1.949384,0.079941,-0.153150,4.093818,3.705340,67.389950,69.145944,68.031430,73.282012,66.296809,75.059634,72.142258,71.829527,67.093890,67.433899,66.891815,68.829848,66.254059,70.072955,70.073817,70.112294,,,0
0.960000,FOLLOW_PATH,0,-0.388202,-0.331718,1.216797,-0.429561,-0.416044,1.944903,0.079955,-0.133844,4.070008,3.730501,70.058871,68.459386,68.106233,69.474352,64.816531,65.849425,67.633864,67.686948,68.131633,67.792820,67.316861,69.055424,65.750924,68.594720,69.219834,69.263423,,,0
0.992000,FOLLOW_PATH,0,-0.387303,-0.329305,1.211845,-0.431889,-0.416994,1.941012,0.079967,-0.114473,4.046026,3.755656,73.041624,63.977091,64.979947,69.803650,68.532924,60.443836,65.409605,71.619772,69.850130,66.457314,66.498941,69.317303,66.724624,65.741910,67.886254,70.088145,,,0
1.024000,FOLLOW_PATH,0,-0.386393,-0.326897,1.206894,-0.434223,-0.417930,1.937704,0.079977,-0.095035,4.021870,3.780805,74.468858,64.815663,68.834501,67.671375,70.514008,70.533057,71.233154,62.704265,71.466685,65.882737,67.316387,68.741228,68.050909,67.418812,69.057669,67.503787,,,0
1.056000,FOLLOW_PATH,0,-0.385496,-0.324552,1.204418,-0.436542,-0.418846,1.934975,0.079982,-0.085442,4.009915,3.793183,90.249480,64.962066,66.535231,65.634338,66.259123,65.146568,67.487815,70.896381,78.040663,65.560502,67.042982,67.653817,67.423784,66.623526,68.508220,68.691195,,,0
1.088000,FOLLOW_PATH,0,-0.384594,-0.322209,1.201942,-0.438864,-0.419753,1.932539,0.079986,-0.075818,3.997897,3.805579,97.863455,69.578608,68.457140,69.181799,72.072283,63.886536,70.212409,68.106504,84.978640,66.966839,67.537937,68.188610,69.050758,65.665580,69.104686,68.486553,0.065141,0.065141,0
1.120000,FOLLOW_PATH,0,-0.383640,-0.319749,1.199467,-0.441188,-0.420651,1.930391,0.079989,-0.066173,3.985832,3.817978,102.095095,75.641139,65.588892,70.751429,65.115306,57.556797,71.668920,72.795158,90.969400,70.002844,66.855772,69.085597,67.673350,62.827506,70.002168,69.994565,0.063522,0.063483,0
1.152000,FOLLOW_PATH,0,-0.382726,-0.317410,1.196991,-0.443513,-0.421541,1.928525,0.079992,-0.056483,3.973687,3.830413,111.103464,85.387432,59.917594,70.443736,67.742480,61.935876,71.867148,62.976970,98.016322,75.387450,64.427409,69.560945,67.697545,62.515436,70.654911,67.538407,0.061617,0.061293,0
1.184000,FOLLOW_PATH,0,-0.381786,-0.315013,1.196991,-0.445840,-0.422423,1.926941,0.079992,-0.056685,3.973941,3.830153,109.987222,91.089777,73.337856,66.577418,71.628806,62.838438,69.730953,68.417745,102.206137,80.883264,67.546065,68.516711,69.073487,62.628487,70.331525,67.846175,0.060485,0.059323,0
1.216000,FOLLOW_PATH,0,-0.380866,-0.312678,1.194515,-0.448168,-0.423302,1.925355,0.079994,-0.046964,3.961734,3.842606,119.899349,100.449790,62.058566,65.251751,67.809035,75.588827,68.682282,67.714044,108.398761,87.731548,65.625441,67.373975,68.630929,67.164606,69.754290,67.799929,0.057251,0.056931,0
1.248000,FOLLOW_PATH,0,-0.379893,-0.310224,1.192039,-0.450497,-0.424175,1.924046,0.079997,-0.037216,3.949471,3.855069,121.108026,109.922891,64.698055,62.681070,69.468244,62.994765,75.482485,67.768055,112.847004,95.498518,65.300856,65.731458,68.923989,65.705161,71.759158,67.788774,0.054471,0.054332,0
1.280000,FOLLOW_PATH,0,-0.378962,-0.307893,1.189564,-0.452828,-0.425042,1.923013,0.079998,-0.027427,3.937133,3.867562,120.185751,111.645682,59.569402,69.194995,62.027082,76.039386,69.948633,61.117945,115.415565,101.150026,63.294847,66.943696,66.510072,69.322140,71.125474,65.453984,0.052865,0.052032,0
1.312000,FOLLOW_PATH,0,-0.378004,-0.305503,1.189564,-0.455161,-0.425904,1.922258,0.079998,-0.027527,3.937259,3.867435,135.624610,113.781670,69.660564,72.694038,66.171119,64.482906,69.991558,66.511695,122.488731,105.571101,65.522848,68.956316,66.391438,67.628408,70.728604,65.824183,0.049345,0.049436,0
1.344000,FOLLOW_PATH,0,-0.377046,-0.303113,1.189564,-0.457495,-0.426766,1.921501,0.079998,-0.027627,3.937385,3.867307,152.770938,122.989876,69.933162,67.348084,67.286773,69.735840,67.057596,68.579758,133.087503,111.667672,67.066458,68.393435,66.704805,68.366009,69.443751,66.788634,0.046556,0.046809,0
1.376000,AVOID,0,-0.376109,-0.300784,1.187088,-0.459831,-0.427625,1.920739,0.020000,2.000000,-1.560976,3.512195,154.484334,129.567628,66.789433,67.944182,62.091918,69.940498,70.270211,70.820667,140.576394,117.932657,66.969499,68.236196,65.090295,68.917080,69.733012,68.199846,0.044585,0.044346,0
1.408000,AVOID,0,-0.375887,-0.300180,1.251458,-0.462334,-0.427998,1.977495,0.020000,2.000000,-1.560976,3.512195,171.117017,148.834946,58.753933,63.262867,65.327104,56.089504,70.216377,67.052048,151.265612,128.748458,64.094051,66.495531,65.173178,64.427429,69.902190,67.798117,0.041772,0.043393,0
1.440000,AVOID,0,-0.375705,-0.299562,1.315828,-0.462256,-0.427433,2.034954,0.020000,2.000000,-1.560976,3.512195,166.819020,152.317402,67.799226,67.247345,67.175638,66.707822,71.657183,66.734421,156.709305,136.997589,65.390862,66.758666,65.874039,65.225566,70.516437,67.425823,0.040340,0.042373,0
1.472000,AVOID,0,-0.375563,-0.298934,1.380198,-0.462192,-0.426805,2.092574,0.020000,2.000000,-1.560976,3.512195,155.076712,159.044685,67.189214,62.233255,69.189399,66.590634,63.703117,64.694030,156.137897,144.714073,66.020285,65.174772,67.034415,65.703340,68.131775,66.469695,0.040490,0.041540,0
1.504000,AVOID,0,-0.375461,-0.298299,1.444568,-0.463455,-0.426908,2.150322,0.020000,2.000000,-1.560976,3.512195,62.489915,174.629230,69.411743,69.815827,67.183943,63.899993,70.816747,66.946751,123.361104,155.184378,67.207296,66.799141,67.086750,65.072169,69.071515,66.636665,0.040741,0.040872,0
1.536000,AVOID,0,-0.375401,-0.297658,1.508938,-0.464226,-0.426784,2.208122,0.020000,2.000000,-1.560976,3.512195,65.994481,173.413450,64.689137,70.959863,69.348149,68.810138,72.847527,70.223485,103.282786,161.564553,66.325940,68.255394,67.878239,66.380458,70.393119,67.892052,0.039531,0.040124,0
1.568000,AVOID,0,-0.375382,-0.297015,1.573308,-0.465006,-0.426693,2.265927,0.020000,2.000000,-1.560976,3.512195,67.609713,195.455979,76.028798,65.343086,64.834744,64.032717,67.938026,66.005931,90.797210,173.426552,69.721940,67.236086,66.813016,65.558749,69.533836,67.231910,0.037970,0.039256,0
1.600000,AVOID,0,-0.375401,-0.296436,1.635202,-0.465796,-0.426649,2.323696,0.020000,2.000000,-1.560976,3.512195,71.374353,204.516669,71.153507,68.310217,72.374997,69.040449,73.195686,65.078577,83.999210,184.308093,70.222988,67.612032,68.759709,66.777344,70.815484,66.478243,0.036538,0.038360,0
1.632000,AVOID,0,-0.375463,-0.295795,1.699572,-0.466598,-0.426658,2.381406,0.020000,2.000000,-1.560976,3.512195,61.153708,208.500166,96.387053,70.570902,68.867419,71.640964,71.138097,63.081826,76.003284,192.775318,79.380411,68.647637,68.797408,68.479611,70.928399,65.289497,0.035424,0.037378,0
1.664000,AVOID,0,-0.375566,-0.295159,1.763942,-0.467413,-0.426727,2.439044,0.020000,2.000000,-1.560976,3.512195,70.206267,210.009210,102.972144,56.296037,67.022193,70.656474,75.246429,67.108873,73.974328,198.807180,87.637517,64.324577,68.176083,69.241513,72.439709,65.926279,0.034631,0.036424,0
1.696000,AVOID,0,-0.375710,-0.294532,1.828312,-0.468237,-0.426861,2.496607,0.020000,2.000000,-1.560976,3.512195,69.136638,208.904772,117.267060,63.568399,65.903795,68.118273,64.427131,71.515329,72.281137,202.341338,98.007857,64.059915,67.380782,68.848379,69.635307,67.882446,0.034166,0.035544,0
1.728000,AVOID,0,-0.375894,-0.293915,1.892682,-0.469053,-0.427044,2.554091,0.020000,2.000000,-1.560976,3.512195,60.904617,199.005133,121.130878,66.078600,69.540901,63.223806,67.878479,67.036078,68.299355,201.173666,106.100915,64.766454,68.136824,66.879779,69.020417,67.586217,0.034319,0.034815,0
1.760000,AVOID,0,-0.376117,-0.293311,1.957052,-0.469857,-0.427274,2.611501,0.020000,2.000000,-1.560976,3.512195,72.452595,198.089123,141.856926,70.081857,70.581278,67.112960,71.312994,62.884865,69.752989,200.094076,118.615519,66.626845,68.992382,66.961392,69.822819,65.940744,0.034461,0.034214,0
1.792000,AVOID,0,-0.376379,-0.292723,2.021422,-0.470651,-0.427566,2.668837,0.020000,2.000000,-1.560976,3.512195,68.735906,70.759310,143.505314,80.231263,66.263851,66.323776,67.711283,65.572906,69.397010,154.826908,127.326947,71.388391,68.037396,66.738227,69.083782,65.812001,0.040835,0.034633,0
1.824000,AVOID,0,-0.376707,-0.292096,2.083316,-0.471425,-0.427903,2.726110,0.020000,2.000000,-1.560976,3.512195,60.291081,65.242624,156.583816,69.602008,66.797349,66.317802,65.732432,66.630592,66.209935,123.472408,137.566851,70.763157,67.603380,66.591078,67.910809,66.098508,0.049086,0.036144,0
1.856000,AVOID,0,-0.377006,-0.291600,2.145210,-0.472178,-0.428283,2.783327,0.020000,2.000000,-1.560976,3.512195,75.427972,70.947995,163.523393,69.029483,71.592885,72.418735,70.564307,71.961178,69.436248,105.088864,146.651641,70.156371,68.999707,68.630758,68.839533,68.150442,0.059319,0.039039,0
1.888000,AVOID,0,-0.377373,-0.291071,2.209580,-0.472906,-0.428704,2.840496,0.020000,2.000000,-1.560976,3.512195,60.268952,64.940765,184.292380,65.528635,64.644785,65.987684,66.015691,71.336923,66.227694,91.037029,159.825899,68.536664,67.475484,67.705682,67.851189,69.265711,0.063504,0.042067,0
1.920000,FOLLOW_PATH,0,-0.377774,-0.290567,2.273950,-0.473596,-0.429149,2.896926,0.036352,-4.000000,6.280000,-3.026910,61.885832,66.830074,191.660954,64.999796,68.358355,67.773168,66.424424,74.617327,64.708042,82.564595,170.968168,67.298760,67.784489,67.729302,67.351821,71.138776,0.065793,0.044986,0
1.952000,FOLLOW_PATH,0,-0.378394,-0.289745,2.160065,-0.472815,-0.430395,2.789256,0.044129,-3.945998,6.280000,-2.502452,70.766018,61.350847,176.045384,72.983748,70.875981,72.270526,73.213151,72.235770,66.828334,75.139783,172.745194,69.288506,68.866511,69.318731,69.403286,71.522724,,,0
1.984000,FOLLOW_PATH,0,-0.379016,-0.288692,2.048655,-0.472318,-0.431911,2.686826,0.051187,-3.506021,6.280000,-1.763387,60.780977,61.833702,165.615664,64.867244,65.077854,62.366135,65.117688,69.710006,64.711759,70.482655,170.249858,67.741064,67.540481,66.885322,67.903327,70.888273,,,0
2.016000,FOLLOW_PATH,0,-0.379629,-0.287344,1.947149,-0.472024,-0.433557,2.583953,0.057066,-3.106286,6.280000,-1.079758,67.379608,65.396110,144.054070,66.489142,66.948790,65.393366,60.769127,60.854482,65.645506,68.702364,161.081332,67.302891,67.333389,66.363138,65.406357,67.376446,,,0
2.048000,FOLLOW_PATH,0,-0.380212,-0.285639,1.853070,-0.472130,-0.435410,2.490087,0.061992,-2.736926,6.280000,-0.432384,66.703247,246.091998,133.220862,72.253771,68.891099,68.215670,69.367314,69.964204,66.015715,130.788736,151.330168,69.035699,67.878588,67.011524,66.792692,68.282161,0.047161,0.047161,0
2.080000,AVOID,0,-0.380641,-0.283888,1.768894,-0.472022,-0.435300,2.485779,0.020000,2.000000,-1.560976,3.512195,67.837627,250.123527,125.638433,61.674487,69.811594,69.197585,70.932311,68.180432,66.653385,172.555913,142.338061,66.459275,68.555140,67.776645,68.241559,68.246556,0.038085,0.038364,0
2.112000,AVOID,0,-0.380788,-0.283261,1.833264,-0.472844,-0.435384,2.547458,0.020000,2.000000,-1.560976,3.512195,70.507659,68.970586,148.736125,66.696729,68.180579,63.601894,66.527957,75.631238,68.002381,136.301049,144.577383,66.542384,68.424043,66.315482,67.641798,70.831195,0.045710,0.041688,0
2.144000,AVOID,0,-0.380975,-0.282645,1.897634,-0.473691,-0.435591,2.608085,0.020000,2.000000,-1.560976,3.512195,66.086021,65.962228,158.414682,69.442933,64.829110,64.243936,68.073926,66.799467,67.331655,111.682461,149.420438,67.557576,67.165817,65.590441,67.793043,69.420090,0.055198,0.045897,0
2.176000,AVOID,0,-0.381201,-0.282043,1.962004,-0.474527,-0.435834,2.667820,0.020000,2.000000,-1.560976,3.512195,66.723916,70.439807,178.835128,68.496756,65.134734,67.955826,70.631403,70.026942,67.118946,97.247532,159.715579,67.886289,66.454938,66.418326,68.786469,69.632488,0.061825,0.049709,0
2.208000,FOLLOW_PATH,0,-0.381465,-0.281456,2.026374,-0.475318,-0.436113,2.726805,0.052098,-3.446377,6.280000,-1.662247,63.345766,67.994234,181.774030,69.601128,61.295695,65.788814,63.583509,74.717739,65.798333,87.008878,167.436037,68.486483,64.649203,66.197997,66.965433,71.412326,0.064592,0.052592,0
2.240000,FOLLOW_PATH,0,-0.382048,-0.280095,1.924867,-0.474764,-0.437118,2.634711,0.057896,-3.046605,6.280000,-0.976344,60.362915,68.277756,165.080853,66.089351,68.733133,70.677472,66.468989,69.104103,63.895937,80.452985,166.611723,67.647487,66.078578,67.765813,66.791678,70.604448,0.066364,0.054183,0
