t,estado,wp_idx,x_odom,y_odom,phi_odom,x_gt,y_gt,phi_gt,v_cmd,w_cmd,vl_motor,vr_motor,ps0,ps1,ps2,ps3,ps4,ps5,ps6,ps7,ps0_f,ps1_f,ps2_f,ps3_f,ps4_f,ps5_f,ps6_f,ps7_f,dist_ir,dist_kalman,casi_colision
0.032000,FOLLOW_PATH,0,-0.392645,-0.406013,0.885506,-0.392645,-0.406013,0.885506,0.075748,1.310068,2.033451,5.356551,87.333968,68.714712,71.729115,70.272842,65.123234,70.236257,69.968280,67.068430,87.333968,68.714712,71.729115,70.272842,65.123234,70.236257,69.968280,67.068430,0.064504,0.064504,0
0.064000,FOLLOW_PATH,0,-0.391177,-0.404137,0.927594,-0.392644,-0.406013,0.885506,0.076743,1.145287,2.291009,5.196127,89.256704,66.597163,62.721456,66.817198,67.915157,69.746300,65.802310,65.047920,88.006926,67.973570,68.576434,69.063367,66.100407,70.064772,68.510190,66.361252,0.064322,0.064238,0
0.096000,FOLLOW_PATH,0,-0.389708,-0.402101,0.964731,-0.394193,-0.404308,0.921255,0.077513,1.000051,2.512751,5.049467,80.001290,67.041813,64.971594,67.428962,64.478650,63.386777,68.080248,70.805016,85.204953,67.647455,67.314740,68.491325,65.532792,67.727474,68.359710,67.916569,0.065080,0.063392,0
0.128000,FOLLOW_PATH,0,-0.388345,-0.400070,0.994440,-0.395962,-0.402630,0.950044,0.078054,0.884064,2.686261,4.928765,89.523754,68.852901,63.731154,66.480599,66.532711,64.206464,74.827764,64.940512,86.716534,68.069361,66.060485,67.787571,65.882764,66.495121,70.623529,66.874949,0.064671,0.062223,0
0.160000,FOLLOW_PATH,0,-0.387043,-0.397999,1.024149,-0.397817,-0.401015,0.975646,0.078531,0.767738,2.857062,4.804495,82.959370,60.777962,57.399075,68.630137,58.895127,69.270017,71.098193,59.886809,85.401526,65.517371,63.028992,68.082469,63.437091,67.466334,70.789662,64.429100,0.065027,0.061189,0
0.192000,FOLLOW_PATH,0,-0.385732,-0.395783,1.048907,-0.399747,-0.399466,0.997951,0.078877,0.671021,2.996606,4.698707,83.288446,72.758449,71.894322,65.890486,61.553297,67.641443,67.553042,64.992305,84.661948,68.051748,66.131857,67.315275,62.777763,67.527622,69.656845,64.626222,0.065227,0.060116,0
0.224000,FOLLOW_PATH,0,-0.384504,-0.393593,1.071189,-0.401735,-0.397976,1.017453,0.079149,0.583869,3.120423,4.601456,88.149199,66.827330,67.126739,66.325993,65.573679,54.667887,64.850760,72.534950,85.882486,67.623202,66.480066,66.969026,63.756334,63.026715,67.974715,67.394277,0.064897,0.059074,0
0.256000,FOLLOW_PATH,0,-0.383321,-0.391380,1.088519,-0.403769,-0.396544,1.034390,0.079335,0.516287,3.215175,4.524780,88.202545,69.067128,61.353531,69.833127,65.333833,64.641620,71.601480,68.788204,86.694507,68.128576,64.685779,67.971462,64.308459,63.591932,69.244083,67.882151,0.064677,0.058061,0
0.288000,FOLLOW_PATH,0,-0.382144,-0.389090,1.103374,-0.405838,-0.395161,1.049334,0.079475,0.458455,3.295380,4.458290,82.622733,63.422670,74.120345,68.456869,66.614641,70.782245,68.146408,63.746205,85.269386,66.481509,67.987877,68.141354,65.115622,66.108541,68.859897,66.434570,0.065062,0.057145,0
0.320000,FOLLOW_PATH,0,-0.381032,-0.386839,1.120704,-0.407937,-0.393823,1.062573,0.079619,0.390486,3.388608,4.379109,89.504088,86.503475,69.679553,65.876335,73.487176,65.622166,66.451673,66.564172,86.751531,73.489197,68.579963,67.348598,68.045666,65.938310,68.017018,66.479931,0.064662,0.056294,0
0.352000,FOLLOW_PATH,0,-0.379923,-0.384515,1.130607,-0.410062,-0.392527,1.073828,0.079690,0.352092,3.440775,4.333886,91.982883,114.123108,60.338753,64.816288,67.734755,66.995902,67.112976,73.454218,88.582505,87.711066,65.695540,66.462289,67.936847,66.308467,67.700604,68.920931,0.064167,0.055391,0
0.384000,FOLLOW_PATH,0,-0.378868,-0.382237,1.142986,-0.412207,-0.391264,1.083943,0.079770,0.303629,3.506112,4.276292,93.112237,151.747916,62.182255,61.459625,67.878855,72.358059,67.577608,68.489162,90.167911,110.123963,64.465890,64.711357,67.916550,68.425824,67.657555,68.769812,0.056173,0.053394,0
0.416000,FOLLOW_PATH,0,-0.377811,-0.379889,1.152889,-0.414371,-0.390033,1.092644,0.079825,0.264955,3.557840,4.229922,99.439009,191.198622,66.023564,71.236768,65.370895,70.966657,70.733636,69.763292,93.412795,138.500094,65.011076,66.995251,67.025571,69.315116,68.734183,69.117530,0.045132,0.049947,0
0.448000,AVOID,0,-0.376801,-0.377591,1.160317,-0.416551,-0.388830,1.100216,0.020000,2.000000,-1.560976,3.512195,100.548039,203.293023,69.295329,62.069466,66.307088,68.284408,71.319652,65.361608,95.910130,161.177619,66.510564,65.271226,66.774102,68.954368,69.639097,67.802957,0.039582,0.046248,0
0.480000,AVOID,0,-0.376563,-0.376993,1.224687,-0.416911,-0.388059,1.157117,0.020000,2.000000,-1.560976,3.512195,85.070148,205.540306,67.124517,63.063389,63.234791,62.727858,67.628645,63.583875,92.116137,176.704560,66.725448,64.498483,65.535343,66.775090,68.935439,66.326278,0.037539,0.044395,0
0.512000,AVOID,0,-0.376364,-0.376381,1.289057,-0.417295,-0.387317,1.214065,0.020000,2.000000,-1.560976,3.512195,61.209735,184.151749,69.334036,67.375872,65.987251,69.811617,70.837718,67.347199,81.298896,179.311076,67.638454,65.505569,65.693511,67.837874,69.601237,66.683600,0.037196,0.042776,0
0.544000,AVOID,0,-0.376205,-0.375757,1.353427,-0.417721,-0.386595,1.271225,0.020000,2.000000,-1.560976,3.512195,62.099805,173.343729,63.978574,62.777097,67.213386,69.308112,67.904018,67.006083,74.579214,177.222504,66.357496,64.550604,66.225467,68.352458,69.007210,66.796470,0.037471,0.041441,0
0.576000,AVOID,0,-0.376087,-0.375124,1.417797,-0.418186,-0.385896,1.328514,0.020000,2.000000,-1.560976,3.512195,67.685603,160.682703,67.935514,68.932665,60.304237,66.030061,66.108706,64.656182,72.166450,171.433574,66.909802,66.084325,64.153037,67.539619,67.992734,66.047369,0.038232,0.040419,0
0.608000,AVOID,0,-0.376009,-0.374485,1.482167,-0.418691,-0.385224,1.385873,0.020000,2.000000,-1.560976,3.512195,63.675263,148.269864,65.770562,69.244336,65.756289,69.959466,66.859843,70.417595,69.194535,163.326275,66.511068,67.190329,64.714175,68.386565,67.596222,67.576948,0.039299,0.039705,0
0.640000,AVOID,0,-0.375973,-0.373842,1.546537,-0.419234,-0.384580,1.443256,0.020000,2.000000,-1.560976,3.512195,67.986439,145.947973,62.879302,62.224248,69.926974,57.993363,64.403444,65.157181,68.771701,157.243869,65.239950,65.452201,66.538655,64.748944,66.478750,66.730030,0.040199,0.039229,0
0.672000,AVOID,0,-0.375977,-0.373263,1.608431,-0.419812,-0.383969,1.500632,0.020000,2.000000,-1.560976,3.512195,67.521682,119.198921,68.002107,67.166664,66.719341,66.480741,65.899510,68.806190,68.334194,143.928138,66.206705,66.052263,66.601895,65.355073,66.276016,67.456686,0.043703,0.039391,0
0.704000,AVOID,0,-0.376022,-0.372621,1.672801,-0.420423,-0.383391,1.557982,0.020000,2.000000,-1.560976,3.512195,63.594910,120.159194,62.484808,67.761507,65.906120,70.073033,66.856980,71.371698,66.675445,135.609007,64.904041,66.650498,66.358373,67.006359,66.479353,68.826940,0.045892,0.039794,0
0.736000,AVOID,0,-0.376115,-0.371919,1.734695,-0.421066,-0.382853,1.615292,0.020000,2.000000,-1.560976,3.512195,70.302933,108.281928,72.245334,68.835176,67.591865,63.788346,63.189593,59.779855,67.945066,126.044530,67.473494,67.415135,66.790096,65.880055,65.327937,65.660460,0.048409,0.040451,0
0.768000,AVOID,0,-0.376241,-0.371288,1.799065,-0.421738,-0.382349,1.672556,0.020000,2.000000,-1.560976,3.512195,61.139923,93.752906,108.870534,73.180014,66.328794,64.542007,71.640572,67.006924,65.563266,114.742461,81.962458,69.432843,66.628640,65.411738,67.537359,66.131723,0.053286,0.041779,0
0.800000,AVOID,0,-0.376407,-0.370666,1.863435,-0.422437,-0.381885,1.729771,0.020000,2.000000,-1.560976,3.512195,61.604554,66.830392,211.698867,64.930632,64.934738,69.848913,67.279776,71.000529,64.177717,97.973237,127.370201,67.857069,66.035774,66.964749,67.447205,67.835805,0.061629,0.044133,0
0.832000,FOLLOW_PATH,0,-0.376612,-0.370056,1.927805,-0.423160,-0.381461,1.786938,0.060584,-2.846490,6.280000,-0.626375,71.002330,66.975326,203.586852,66.132989,65.181475,68.786007,64.518135,64.194431,66.566331,87.123968,154.046029,67.253641,65.736769,67.602190,66.422031,66.561324,0.064561,0.046571,0
0.864000,FOLLOW_PATH,0,-0.377188,-0.368280,1.841153,-0.424752,-0.382593,1.707204,0.064808,-2.505919,6.280000,-0.016729,66.048914,72.558654,199.725239,67.379419,66.587055,64.001724,68.434772,61.029286,66.385235,82.026108,170.033752,67.297663,66.034370,66.342027,67.126490,64.625110,0.065939,0.047808,0
0.896000,FOLLOW_PATH,0,-0.377647,-0.366338,1.764404,-0.426660,-0.383570,1.633354,0.068153,-2.204715,6.120742,0.528295,68.194469,95.623179,202.246345,64.825852,66.596286,69.330009,72.365209,77.660880,67.018467,86.785083,181.308160,66.432529,66.231040,67.387820,68.960042,69.187630,0.064653,0.048567,0
0.928000,FOLLOW_PATH,0,-0.377980,-0.364240,1.692607,-0.428706,-0.384373,1.563970,0.070932,-1.923014,5.899030,1.021140,67.389950,114.660366,68.031430,73.282012,66.296809,75.059634,72.142258,71.829527,67.148486,96.541432,141.661304,68.829848,66.254059,70.072955,70.073817,70.112294,0.062016,0.048719,0
0.960000,FOLLOW_PATH,0,-0.378185,-0.361997,1.630713,-0.431026,-0.385000,1.495467,0.073042,-1.680587,5.694517,1.431564,70.058871,123.090944,68.106233,69.474352,64.816531,65.849425,67.633864,67.686948,68.167121,105.833761,115.917029,69.055424,65.750924,68.594720,69.219834,69.263423,0.058854,0.048276,0
0.992000,FOLLOW_PATH,0,-0.378266,-0.359616,1.578722,-0.431410,-0.384770,1.513532,0.074605,-1.477445,5.513084,1.765418,68.265666,113.826483,64.979947,69.803650,68.532924,60.443836,65.409605,71.619772,68.201612,108.631214,98.089050,69.317303,66.724624,65.741910,67.886254,70.088145,0.057105,0.047533,0
1.024000,FOLLOW_PATH,0,-0.378228,-0.357235,1.531682,-0.431876,-0.384506,1.536077,0.075853,-1.293556,5.340760,2.059544,61.083041,112.767154,68.834501,67.671375,70.514008,70.533057,71.233154,62.704265,65.710112,110.078793,87.849958,68.741228,68.050909,67.418812,69.057669,67.503787,0.056201,0.046766,0
1.056000,FOLLOW_PATH,0,-0.378085,-0.354857,1.489594,-0.432421,-0.384216,1.562726,0.076835,-1.128966,5.179892,2.316175,67.842756,109.957995,206.516378,65.634338,66.259123,65.146568,67.487815,70.896381,66.456537,110.036514,129.383205,67.653817,67.423784,66.623526,68.508220,68.691195,0.056227,0.046114,0
1.088000,FOLLOW_PATH,0,-0.377835,-0.352360,1.452457,-0.433032,-0.383912,1.593148,0.077592,-0.983901,5.032851,2.537102,66.705232,111.313153,209.661306,69.181799,72.072283,63.886536,70.212409,68.106504,66.543581,110.483337,157.480540,68.188610,69.050758,65.665580,69.104686,68.486553,0.055948,0.045408,0
1.120000,FOLLOW_PATH,0,-0.377510,-0.349935,1.422748,-0.433720,-0.383607,1.626269,0.078124,-0.868055,4.911855,2.709958,66.777775,103.283416,204.294154,70.751429,65.115306,57.556797,71.668920,72.795158,66.625548,107.963365,173.865305,69.085597,67.673350,62.827506,70.002168,69.994565,0.057523,0.045089,0
1.152000,FOLLOW_PATH,0,-0.377106,-0.347457,1.395515,-0.435357,-0.383659,1.629481,0.078553,-0.761837,4.798105,2.865640,78.430896,102.052215,194.386808,70.443736,67.742480,61.935876,71.867148,62.976970,70.757420,105.894463,181.047831,69.560945,67.697545,62.515436,70.654911,67.538407,0.058816,0.044951,0
1.184000,FOLLOW_PATH,0,-0.376635,-0.344992,1.368281,-0.437768,-0.383983,1.608612,0.078929,-0.655277,4.681274,3.019109,81.609118,102.956230,215.592881,66.577418,71.628806,62.838438,69.730953,76.692618,74.555514,104.866081,193.138599,68.516711,69.073487,62.628487,70.331525,70.742381,0.059459,0.044927,0
1.216000,FOLLOW_PATH,0,-0.376092,-0.342475,1.348475,-0.440210,-0.384267,1.590345,0.079166,-0.578180,4.595045,3.128440,93.959136,104.983677,196.761661,65.251751,67.809035,75.588827,68.682282,87.932020,81.346782,104.907240,194.406670,67.373975,68.630929,67.164606,69.754290,76.758754,0.059433,0.044848,0
1.248000,FOLLOW_PATH,0,-0.375517,-0.340031,1.331145,-0.442675,-0.384480,1.573992,0.079349,-0.510699,4.518391,3.222960,99.480309,112.684429,200.653917,62.681070,69.468244,62.994765,75.482485,99.530449,87.693516,107.629256,196.593207,65.731458,68.923989,65.705161,71.759158,84.728848,0.057732,0.044587,0
1.280000,FOLLOW_PATH,0,-0.374900,-0.337598,1.313814,-0.445154,-0.384630,1.559387,0.079510,-0.442995,4.440379,3.316684,98.924759,112.056950,192.261723,69.194995,62.027082,76.039386,69.948633,100.300701,91.624451,109.178949,195.077187,66.943696,66.510072,69.322140,71.125474,90.178996,0.056763,0.044222,0
1.312000,FOLLOW_PATH,0,-0.374227,-0.335112,1.298960,-0.447641,-0.384721,1.546615,0.079630,-0.385023,4.372697,3.396052,106.460904,111.895095,208.626140,72.694038,66.171119,64.482906,69.991558,110.589736,96.817210,110.129600,199.819321,68.956316,66.391438,67.628408,70.728604,97.322755,0.056169,0.043769,0
1.344000,FOLLOW_PATH,0,-0.373538,-0.332698,1.286581,-0.450131,-0.384764,1.535454,0.079717,-0.336742,4.315706,3.461531,116.858591,117.803672,209.392696,67.348084,67.286773,69.735840,67.057596,117.935856,103.831693,112.815525,203.170002,68.393435,66.704805,68.366009,69.443751,104.537340,0.054490,0.043192,0
1.376000,FOLLOW_PATH,0,-0.372804,-0.330230,1.276678,-0.452624,-0.384763,1.525667,0.079778,-0.298248,4.269862,3.513331,113.804017,116.193548,204.844254,67.944182,62.091918,69.940498,70.270211,126.812647,107.322006,113.997833,203.755990,68.236196,65.090295,68.917080,69.733012,112.333698,0.053751,0.042536,0
1.408000,FOLLOW_PATH,0,-0.372068,-0.327830,1.269250,-0.455117,-0.384728,1.516996,0.079818,-0.269517,4.235410,3.551758,123.039671,120.386933,192.544891,63.262867,65.327104,56.089504,70.216377,131.600234,112.823189,116.234018,199.832105,66.495531,65.173178,64.427429,69.902190,119.076986,0.050577,0.041567,0
1.440000,FOLLOW_PATH,0,-0.371291,-0.325376,1.259347,-0.457609,-0.384662,1.509175,0.079867,-0.230792,4.188656,3.603234,132.782065,118.815156,208.047149,67.247345,67.175638,66.707822,71.657183,141.593932,119.808795,117.137416,202.707371,66.758666,65.874039,65.225566,70.516437,126.957917,0.048169,0.040333,0
1.472000,FOLLOW_PATH,0,-0.370512,-0.322989,1.251920,-0.460102,-0.384566,1.502491,0.079898,-0.201833,4.153456,3.641489,136.995236,122.538569,208.085071,62.233255,69.189399,66.590634,87.123937,149.048022,125.824050,119.027820,204.589566,65.174772,67.034415,65.703340,76.329062,134.689454,0.046134,0.039037,0
1.504000,AVOID,0,-0.369699,-0.320546,1.246969,-0.462594,-0.384446,1.496669,0.020000,2.000000,-1.560976,3.512195,142.909797,124.517499,212.875584,69.815827,67.183943,63.899993,108.057378,167.362061,131.804061,120.949207,207.489672,66.799141,67.086750,65.072169,87.433973,146.124866,0.043125,0.037436,0
1.536000,AVOID,0,-0.369514,-0.319929,1.311339,-0.463269,-0.383824,1.555933,0.020000,2.000000,-1.560976,3.512195,157.541209,105.081479,206.920650,70.959863,69.348149,68.810138,72.847527,168.858730,140.812063,115.395502,207.290514,68.255394,67.878239,66.380458,82.328717,154.081718,0.041031,0.037412,0
1.568000,AVOID,0,-0.369368,-0.319303,1.370757,-0.463905,-0.383265,1.613317,0.020000,2.000000,-1.560976,3.512195,174.441775,108.479713,225.200450,65.343086,64.834744,64.032717,67.938026,157.526145,152.582462,112.974976,213.558992,67.236086,66.813016,65.558749,77.291975,155.287268,0.040714,0.037344,0
1.600000,AVOID,0,-0.369260,-0.318668,1.435127,-0.464570,-0.382746,1.670867,0.020000,2.000000,-1.560976,3.512195,192.684041,70.461453,204.662748,68.310217,72.374997,69.040449,73.195686,151.905847,166.618015,98.095243,210.445307,67.612032,68.759709,66.777344,75.858274,154.103770,0.038866,0.037017,0
1.632000,AVOID,0,-0.369194,-0.318028,1.499497,-0.465264,-0.382268,1.728654,0.020000,2.000000,-1.560976,3.512195,187.225622,70.029148,204.028454,70.570902,68.867419,71.640964,71.138097,144.076358,173.830677,88.272110,208.199408,68.647637,68.797408,68.479611,74.206212,150.594176,0.037917,0.036599,0
