t,estado,wp_idx,x_odom,y_odom,phi_odom,x_gt,y_gt,phi_gt,v_cmd,w_cmd,vl_motor,vr_motor,ps0,ps1,ps2,ps3,ps4,ps5,ps6,ps7,ps0_f,ps1_f,ps2_f,ps3_f,ps4_f,ps5_f,ps6_f,ps7_f,dist_ir,dist_kalman,casi_colision
0.032000,FOLLOW_PATH,0,-0.913335,0.106989,0.885506,-0.913335,0.106989,0.885506,0.066777,-2.332779,6.216042,0.298749,67.792124,68.714712,71.729115,70.272842,65.123234,70.236257,69.968280,67.068430,67.792124,68.714712,71.729115,70.272842,65.123234,70.236257,69.968280,67.068430,,,0
0.064000,FOLLOW_PATH,0,-0.911888,0.108630,0.811233,-0.913817,0.106508,0.819528,0.069811,-2.040844,5.993818,0.817043,69.651024,66.597163,62.721456,66.817198,67.915157,69.746300,65.802310,65.047920,68.442739,67.973570,68.576434,69.063367,66.100407,70.064772,68.510190,66.361252,,,0
0.096000,FOLLOW_PATH,0,-0.910330,0.110168,0.746863,-0.916612,0.108283,0.760244,0.072140,-1.787943,5.786675,1.251406,62.822918,67.041813,64.971594,67.428962,64.478650,63.386777,68.080248,70.805016,66.475802,67.647455,67.314740,68.491325,65.532792,67.727474,68.359710,67.916569,,,0
0.128000,FOLLOW_PATH,0,-0.908584,0.111691,0.687445,-0.919268,0.110352,0.708015,0.074034,-1.554550,5.583044,1.639795,72.760208,68.852901,63.731154,66.480599,66.532711,64.206464,74.827764,64.940512,68.675344,68.069361,66.060485,67.787571,65.882764,66.495121,70.623529,66.874949,,,0
0.160000,FOLLOW_PATH,0,-0.906708,0.113159,0.640405,-0.921828,0.112583,0.660179,0.075352,-1.370278,5.413600,1.937773,66.837673,60.777962,57.399075,68.630137,58.895127,69.270017,71.098193,59.886809,68.032159,65.517371,63.028992,68.082469,63.437091,67.466334,70.789662,64.429100,,,0
0.192000,FOLLOW_PATH,0,-0.904769,0.114541,0.598317,-0.923187,0.113758,0.617986,0.076395,-1.205374,5.255357,2.197822,67.055789,72.758449,71.894322,65.890486,61.553297,67.641443,67.553042,64.992305,67.690430,68.051748,66.131857,67.315275,62.777763,67.527622,69.656845,64.626222,,,0
0.224000,FOLLOW_PATH,0,-0.902721,0.115879,0.558705,-0.924528,0.114997,0.575842,0.077259,-1.050047,5.100513,2.436979,71.162124,66.827330,67.126739,66.325993,65.573679,54.667887,64.850760,72.534950,68.905523,67.623202,66.480066,66.969026,63.756334,63.026715,67.974715,67.394277,,,0
0.256000,FOLLOW_PATH,0,-0.900625,0.117139,0.524044,-0.926243,0.117093,0.542535,0.077920,-0.914139,4.960370,2.641577,70.142569,69.067128,61.353531,69.833127,65.333833,64.641620,71.601480,68.788204,69.338489,68.128576,64.685779,67.971462,64.308459,63.591932,69.244083,67.882151,,,0
0.288000,FOLLOW_PATH,0,-0.898434,0.118366,0.496810,-0.927698,0.118975,0.510818,0.078375,-0.807679,4.847528,2.798781,63.284388,63.422670,74.120345,68.456869,66.614641,70.782245,68.146408,63.746205,67.219554,66.481509,67.987877,68.141354,65.115622,66.108541,68.859897,66.434570,,,0
0.320000,FOLLOW_PATH,0,-0.896211,0.119532,0.469577,-0.929083,0.120940,0.482973,0.078775,-0.700923,4.731653,2.953704,68.097866,69.419404,69.679553,65.876335,73.487176,65.622166,66.451673,66.564172,67.526963,67.509772,68.579963,67.348598,68.045666,65.938310,68.017018,66.479931,,,0
