t,estado,wp_idx,x_odom,y_odom,phi_odom,x_gt,y_gt,phi_gt,v_cmd,w_cmd,vl_motor,vr_motor,ps0,ps1,ps2,ps3,ps4,ps5,ps6,ps7,ps0_f,ps1_f,ps2_f,ps3_f,ps4_f,ps5_f,ps6_f,ps7_f,dist_ir,dist_kalman,casi_colision
0.032000,FOLLOW_PATH,0,-0.065793,-0.850164,-2.377376,-0.065793,-0.850164,-2.377376,0.000000,-4.000000,5.073171,-5.073171,67.792124,68.714712,71.729115,70.272842,65.123234,70.236257,69.968280,67.068430,67.792124,68.714712,71.729115,70.272842,65.123234,70.236257,69.968280,67.068430,,,0
0.064000,FOLLOW_PATH,0,-0.065842,-0.850205,-2.503640,-0.064974,-0.849462,-2.491175,0.000000,-4.000000,5.073171,-5.073171,69.651024,66.597163,62.721456,66.817198,67.915157,69.746300,65.802310,65.047920,68.442739,67.973570,68.576434,69.063367,66.100407,70.064772,68.510190,66.361252,,,0
0.096000,FOLLOW_PATH,0,-0.065842,-0.850205,-2.632380,-0.064061,-0.848846,-2.607277,0.000000,-4.000000,5.073171,-5.073171,62.822918,67.041813,64.971594,67.428962,64.478650,63.386777,68.080248,70.805016,66.475802,67.647455,67.314740,68.491325,65.532792,67.727474,68.359710,67.916569,,,0
0.128000,FOLLOW_PATH,0,-0.065784,-0.850177,-2.758644,-0.063071,-0.848332,-2.724849,0.000000,-4.000000,5.073171,-5.073171,72.760208,68.852901,63.731154,66.480599,66.532711,64.206464,74.827764,64.940512,68.675344,68.069361,66.060485,67.787571,65.882764,66.495121,70.623529,66.874949,,,0
0.160000,FOLLOW_PATH,0,-0.065784,-0.850177,-2.887384,-0.063052,-0.848336,-2.726326,0.000000,-4.000000,5.073171,-5.073171,66.837673,60.777962,57.399075,68.630137,58.895127,69.270017,71.098193,59.886809,68.032159,65.517371,63.028992,68.082469,63.437091,67.466334,70.789662,64.429100,,,0
0.192000,FOLLOW_PATH,0,-0.065784,-0.850177,-3.016124,-0.063053,-0.848334,-2.726327,0.000000,-4.000000,5.073171,-5.073171,67.055789,72.758449,71.894322,65.890486,61.553297,67.641443,67.553042,64.992305,67.690430,68.051748,66.131857,67.315275,62.777763,67.527622,69.656845,64.626222,,,0
0.224000,FOLLOW_PATH,0,-0.065849,-0.850181,3.140797,-0.063054,-0.848332,-2.726327,0.000000,-4.000000,5.073171,-5.073171,71.162124,66.827330,67.126739,66.325993,65.573679,54.667887,64.850760,72.534950,68.905523,67.623202,66.480066,66.969026,63.756334,63.026715,67.974715,67.394277,,,0
0.256000,FOLLOW_PATH,0,-0.065784,-0.850185,3.014533,-0.063055,-0.848331,-2.726327,0.000000,-4.000000,5.073171,-5.073171,70.142569,69.067128,61.353531,69.833127,65.333833,64.641620,71.601480,68.788204,69.338489,68.128576,64.685779,67.971462,64.308459,63.591932,69.244083,67.882151,,,0
0.288000,FOLLOW_PATH,0,-0.065784,-0.850185,2.885793,-0.063055,-0.848330,-2.726328,0.000000,-4.000000,5.073171,-5.073171,63.284388,63.422670,74.120345,68.456869,66.614641,70.782245,68.146408,63.746205,67.219554,66.481509,67.987877,68.141354,65.115622,66.108541,68.859897,66.434570,,,0
0.320000,FOLLOW_PATH,0,-0.065784,-0.850185,2.757053,-0.063055,-0.848329,-2.726328,0.000000,-4.000000,5.073171,-5.073171,68.097866,69.419404,69.679553,65.876335,73.487176,65.622166,66.451673,66.564172,67.526963,67.509772,68.579963,67.348598,68.045666,65.938310,68.017018,66.479931,,,0
0.352000,FOLLOW_PATH,0,-0.065842,-0.850158,2.630789,-0.063056,-0.848329,-2.726330,0.000000,-4.000000,5.073171,-5.073171,68.155008,66.609739,60.338753,64.816288,67.734755,66.995902,67.112976,73.454218,67.746779,67.194761,65.695540,66.462289,67.936847,66.308467,67.700604,68.920931,,,0
0.384000,FOLLOW_PATH,0,-0.065842,-0.850158,2.502049,-0.063056,-0.848328,-2.726331,0.005073,-4.000000,5.320632,-4.825710,66.618849,68.679191,62.182255,61.459625,67.878855,72.358059,67.577608,68.489162,67.352003,67.714311,64.465890,64.711357,67.916550,68.425824,67.657555,68.769812,,,0
0.416000,FOLLOW_PATH,0,-0.065941,-0.850074,2.373309,-0.062274,-0.847782,-2.825471,0.015268,-4.000000,5.817948,-4.328393,69.808916,65.166005,66.023564,71.236768,65.370895,70.966657,70.733636,69.763292,68.211923,66.822404,65.011076,66.995251,67.025571,69.315116,68.734183,69.117530,,,0
