t,estado,wp_idx,x_odom,y_odom,phi_odom,x_gt,y_gt,phi_gt,v_cmd,w_cmd,vl_motor,vr_motor,ps0,ps1,ps2,ps3,ps4,ps5,ps6,ps7,ps0_f,ps1_f,ps2_f,ps3_f,ps4_f,ps5_f,ps6_f,ps7_f,dist_ir,dist_kalman,casi_colision
0.032000,FOLLOW_PATH,0,0.032577,-0.537097,0.885506,0.032577,-0.537097,0.885506,0.079705,-0.343907,4.324199,3.451850,67.792124,68.714712,71.729115,70.272842,65.123234,70.236257,69.968280,67.068430,67.792124,68.714712,71.729115,70.272842,65.123234,70.236257,69.968280,67.068430,,,0
0.064000,FOLLOW_PATH,0,0.034217,-0.535111,0.875603,0.032464,-0.537147,0.875381,0.079766,-0.306026,4.279154,3.502894,69.651024,66.597163,62.721456,66.817198,67.915157,69.746300,65.802310,65.047920,68.442739,67.973570,68.576434,69.063367,66.100407,70.064772,68.510190,66.361252,,,0
0.096000,FOLLOW_PATH,0,0.035837,-0.533193,0.863224,0.029588,-0.534879,0.865275,0.079834,-0.257983,4.221523,3.567127,62.822918,67.041813,64.971594,67.428962,64.478650,63.386777,68.080248,70.805016,66.475802,67.647455,67.314740,68.491325,65.532792,67.727474,68.359710,67.916569,,,0
0.128000,FOLLOW_PATH,0,0.037515,-0.531241,0.858273,0.026695,-0.532507,0.857621,0.079857,-0.239517,4.199222,3.591668,72.760208,68.852901,63.731154,66.480599,66.532711,64.206464,74.827764,64.940512,68.675344,68.069361,66.060485,67.787571,65.882764,66.495121,70.623529,66.874949,,,0
0.160000,FOLLOW_PATH,0,0.039208,-0.529301,0.848370,0.023824,-0.530101,0.850814,0.079899,-0.201098,4.152559,3.642458,66.837673,60.777962,57.399075,68.630137,58.895127,69.270017,71.098193,59.886809,68.032159,65.517371,63.028992,68.082469,63.437091,67.466334,70.789662,64.429100,,,0
0.192000,FOLLOW_PATH,0,0.040875,-0.527424,0.840942,0.022383,-0.528898,0.844878,0.079926,-0.172380,4.117444,3.680187,67.055789,72.758449,71.894322,65.890486,61.553297,67.641443,67.553042,64.992305,67.690430,68.051748,66.131857,67.315275,62.777763,67.527622,69.656845,64.626222,,,0
0.224000,FOLLOW_PATH,0,0.042596,-0.525509,0.835991,0.020979,-0.527708,0.839852,0.079941,-0.153466,4.094207,3.704927,71.162124,66.827330,67.126739,66.325993,65.573679,54.667887,64.850760,72.534950,68.905523,67.623202,66.480066,66.969026,63.756334,63.026715,67.974715,67.394277,,,0
0.256000,FOLLOW_PATH,0,0.044327,-0.523603,0.831039,0.019582,-0.526508,0.835473,0.079955,-0.134453,4.070760,3.729709,70.142569,69.067128,61.353531,69.833127,65.333833,64.641620,71.601480,68.788204,69.338489,68.128576,64.685779,67.971462,64.308459,63.591932,69.244083,67.882151,,,0
0.288000,FOLLOW_PATH,0,0.046022,-0.521751,0.828564,0.017468,-0.524643,0.831547,0.079961,-0.125250,4.059380,3.741672,63.284388,63.422670,74.120345,68.456869,66.614641,70.782245,68.146408,63.746205,67.219554,66.481509,67.987877,68.141354,65.115622,66.108541,68.859897,66.434570,,,0
0.320000,FOLLOW_PATH,0,0.047767,-0.519857,0.823612,0.015349,-0.522753,0.827931,0.079972,-0.106088,4.035618,3.766516,68.097866,69.419404,69.679553,65.876335,73.487176,65.622166,66.451673,66.564172,67.526963,67.509772,68.579963,67.348598,68.045666,65.938310,68.017018,66.479931,,,0
0.352000,FOLLOW_PATH,0,0.049475,-0.518018,0.821136,0.013240,-0.520852,0.824904,0.079977,-0.096739,4.023991,3.778605,68.155008,66.609739,60.338753,64.816288,67.734755,66.995902,67.112976,73.454218,67.746779,67.194761,65.695540,66.462289,67.936847,66.308467,67.700604,68.920931,,,0
0.384000,FOLLOW_PATH,0,0.051235,-0.516138,0.816185,0.011435,-0.519215,0.822153,0.079985,-0.077423,3.999903,3.803513,66.618849,68.679191,62.182255,61.459625,67.878855,72.358059,67.577608,68.489162,67.352003,67.714311,64.465890,64.711357,67.916550,68.425824,67.657555,68.769812,,,0
0.416000,FOLLOW_PATH,0,0.052998,-0.514262,0.816185,0.009650,-0.517581,0.819962,0.079985,-0.077862,4.000452,3.802947,69.808916,65.166005,66.023564,71.236768,65.370895,70.966657,70.733636,69.763292,68.211923,66.822404,65.011076,66.995251,67.025571,69.315116,68.734183,69.117530,,,0
0.448000,FOLLOW_PATH,0,0.054767,-0.512390,0.811233,0.007878,-0.515952,0.817769,0.079991,-0.058444,3.976147,3.827898,67.510361,67.672979,69.295329,62.069466,66.307088,68.284408,71.319652,65.361608,67.966376,67.120105,66.510564,65.271226,66.774102,68.954368,69.639097,67.802957,,,0
0.480000,FOLLOW_PATH,0,0.056540,-0.510523,0.811233,0.006118,-0.514320,0.816135,0.079991,-0.058780,3.976568,3.827467,72.055708,73.656697,67.124517,63.063389,63.234791,62.727858,67.628645,63.583875,69.397642,69.407912,66.725448,64.498483,65.535343,66.775090,68.935439,66.326278,,,0
0.512000,FOLLOW_PATH,0,0.058271,-0.508705,0.808757,0.004362,-0.512688,0.814498,0.079994,-0.049180,3.964519,3.839769,61.209735,66.108018,69.334036,67.375872,65.987251,69.811617,70.837718,67.347199,66.531875,68.252949,67.638454,65.505569,65.693511,67.837874,69.601237,66.683600,,,0
0.544000,FOLLOW_PATH,0,0.060048,-0.506842,0.808757,0.002539,-0.510982,0.813133,0.079994,-0.049466,3.964878,3.839404,62.099805,67.029024,63.978574,62.777097,67.213386,69.308112,67.904018,67.006083,64.980650,67.824576,66.357496,64.550604,66.225467,68.352458,69.007210,66.796470,,,0
0.576000,FOLLOW_PATH,0,0.061784,-0.505028,0.806282,0.000715,-0.509272,0.811760,0.079996,-0.039816,3.952744,3.851747,67.685603,68.845689,67.935514,68.932665,60.304237,66.030061,66.108706,64.656182,65.927384,68.181965,66.909802,66.084325,64.153037,67.539619,67.992734,66.047369,,,0
0.608000,FOLLOW_PATH,0,0.063613,-0.503126,0.803806,-0.001108,-0.507554,0.810660,0.079998,-0.030123,3.940533,3.864123,63.675263,66.652559,65.770562,69.244336,65.756289,69.959466,66.859843,70.417595,65.139141,67.646673,66.511068,67.190329,64.714175,68.386565,67.596222,67.576948,,,0
0.640000,FOLLOW_PATH,0,0.065357,-0.501320,0.801330,-0.002929,-0.505831,0.809835,0.079999,-0.020365,3.928217,3.876559,67.986439,72.492503,62.879302,62.224248,69.926974,57.993363,64.403444,65.157181,66.135696,69.342713,65.239950,65.452201,66.538655,64.748944,66.478750,66.730030,,,0
0.672000,FOLLOW_PATH,0,0.067149,-0.499471,0.801330,-0.004749,-0.504102,0.809286,0.079999,-0.020486,3.928370,3.876405,67.521682,63.621736,68.002107,67.166664,66.719341,66.480741,65.899510,68.806190,66.620791,67.340371,66.206705,66.052263,66.601895,65.355073,66.276016,67.456686,,,0
0.704000,FOLLOW_PATH,0,0.068940,-0.497622,0.801330,-0.006569,-0.502372,0.808734,0.079999,-0.020609,3.928525,3.876249,63.594910,70.764337,62.484808,67.761507,65.906120,70.073033,66.856980,71.371698,65.561733,68.538759,64.904041,66.650498,66.358373,67.006359,66.479353,68.826940,,,0
0.736000,FOLLOW_PATH,0,0.070732,-0.495772,0.801330,-0.008389,-0.500640,0.808176,0.079999,-0.020733,3.928682,3.876091,70.302933,68.109684,72.245334,68.835176,67.591865,63.788346,63.189593,59.779855,67.221153,68.388583,67.473494,67.415135,66.790096,65.880055,65.327937,65.660460,,,0
0.768000,FOLLOW_PATH,0,0.072480,-0.493971,0.798854,-0.010208,-0.498907,0.807611,0.080000,-0.010923,3.916278,3.888571,61.139923,71.765329,66.468208,73.180014,66.328794,64.542007,71.640572,67.006924,65.092723,69.570444,67.121644,69.432843,66.628640,65.411738,67.537359,66.131723,,,0
0.800000,FOLLOW_PATH,0,0.074229,-0.492170,0.801330,-0.012024,-0.497172,0.807322,0.079999,-0.020920,3.928919,3.875853,61.604554,73.444331,70.115425,64.930632,64.934738,69.848913,67.279776,71.000529,63.871864,70.926305,68.169467,67.857069,66.035774,66.964749,67.447205,67.835805,,,0
0.832000,FOLLOW_PATH,0,0.076021,-0.490321,0.801330,-0.013840,-0.495440,0.806746,0.079999,-0.021048,3.929080,3.875690,71.002330,80.073362,69.049237,66.132989,65.181475,68.786007,64.518135,64.194431,66.367527,74.127775,68.477387,67.253641,65.736769,67.602190,66.422031,66.561324,,,0
0.864000,FOLLOW_PATH,0,0.077812,-0.488471,0.801330,-0.015653,-0.493709,0.806162,0.079999,-0.021178,3.929244,3.875524,66.048914,89.187752,64.084735,67.379419,66.587055,64.001724,68.434772,61.029286,66.256012,79.398767,66.939959,67.297663,66.034370,66.342027,67.126490,64.625110,,,0
0.896000,FOLLOW_PATH,0,0.079561,-0.486670,0.798854,-0.017462,-0.491979,0.805569,0.080000,-0.011373,3.916848,3.887999,68.194469,88.706709,64.705791,64.825852,66.596286,69.330009,72.365209,77.660880,66.934472,82.656546,66.158000,66.432529,66.231040,67.387820,68.960042,69.187630,0.065769,0.065769,0
0.928000,FOLLOW_PATH,0,0.081357,-0.484825,0.798854,-0.019267,-0.490249,0.805252,0.080000,-0.011444,3.916938,3.887909,67.389950,101.671000,68.031430,73.282012,66.296809,75.059634,72.142258,71.829527,67.093890,89.311605,66.813700,68.829848,66.254059,70.072955,70.073817,70.112294,0.063970,0.063940,0
0.960000,FOLLOW_PATH,0,0.083153,-0.482980,0.798854,-0.021068,-0.488520,0.804933,0.080000,-0.011516,3.917029,3.887817,70.058871,106.264635,68.106233,69.474352,64.816531,65.849425,67.633864,67.686948,68.131633,95.245166,67.266087,69.055424,65.750924,68.594720,69.219834,69.263423,0.062366,0.061862,0
0.992000,FOLLOW_PATH,0,0.084949,-0.481135,0.798854,-0.022867,-0.486794,0.804609,0.080000,-0.011589,3.917121,3.887725,68.265666,104.272655,64.979947,69.803650,68.532924,60.443836,65.409605,71.619772,68.178545,98.404787,66.465938,69.317303,66.724624,65.741910,67.886254,70.088145,0.061512,0.060050,0
1.024000,FOLLOW_PATH,0,0.086702,-0.479339,0.796379,-0.024662,-0.485069,0.804283,0.080000,-0.001727,3.904629,3.900249,61.083041,107.742791,68.834501,67.671375,70.514008,70.533057,71.233154,62.704265,65.695118,101.673088,67.294935,68.741228,68.050909,67.418812,69.057669,67.503787,0.060629,0.058370,0
